key,protocol,product,symbol,chain,reserve,comparable,advertised_pct,realized_pct,gap_pct,delivered_pct,advertised_min_pct,advertised_p25_pct,advertised_median_pct,advertised_p75_pct,advertised_max_pct,advertised_spread_ratio,advertised_history_observations,spot_percentile,spot_is_representative,gap_vs_median_pct,delivered_vs_median_pct,advertised_basis,realized_method,window_days,realized_from,realized_to,advertised_source_url,advertised_verbatim,captured_at,reason
kamino-lend-usdc,Kamino,Kamino Lend USDC (Main market),USDC,solana,D6q6wuQSrifJKZYpR1M8R4YawnLDtDsMmWM1NbBmgJ59,true,3.9608,4.1065,-0.1457,103.68,3.2082,3.494,3.8536,4.2637,24.3491,7.59,820,53.8,true,-0.2529,106.56,spot-apy,issuer_share_price_history,30,2026-07-10T00:00:00.000Z,2026-08-09T00:00:00.000Z,https://api.kamino.finance/kamino-market/7u3HeHxYDLhnCoErrtycNokbQYbWGzLs6JSDqGAv5PfF/reserves/metrics,"""reserve"":""D6q6wuQSrifJKZYpR1M8R4YawnLDtDsMmWM1NbBmgJ59"",""liquidityToken"":""USDC"",""supplyApy"":""0.03960762230729875""",2026-08-09T01:59:54.230Z,
kamino-lend-usdg,Kamino,Kamino Lend USDG (Main market),USDG,solana,ESCkPWKHmgNE7Msf77n9yzqJd5kQVWWGy3o5Mgxhvavp,true,2.4815,2.912,-0.4305,117.35,1.8958,2.3722,2.4853,5.4095,11.7439,6.19,820,48.4,true,-0.4267,117.17,spot-apy,issuer_share_price_history,30,2026-07-10T00:00:00.000Z,2026-08-09T00:00:00.000Z,https://api.kamino.finance/kamino-market/7u3HeHxYDLhnCoErrtycNokbQYbWGzLs6JSDqGAv5PfF/reserves/metrics,"""reserve"":""ESCkPWKHmgNE7Msf77n9yzqJd5kQVWWGy3o5Mgxhvavp"",""liquidityToken"":""USDG"",""supplyApy"":""0.024814883217976202""",2026-08-09T01:59:55.330Z,
kamino-lend-pyusd,Kamino,Kamino Lend PYUSD (Main market),PYUSD,solana,2gc9Dm1eB6UgVYFBUN9bWks6Kes9PbWSaPaa9DqyvEiN,true,4.7135,4.7082,0.0054,99.89,1.3223,3.6132,4.004,4.7778,24.3431,18.41,820,72.1,true,-0.7042,117.59,spot-apy,issuer_share_price_history,30,2026-07-10T00:00:00.000Z,2026-08-09T00:00:00.000Z,https://api.kamino.finance/kamino-market/7u3HeHxYDLhnCoErrtycNokbQYbWGzLs6JSDqGAv5PfF/reserves/metrics,"""reserve"":""2gc9Dm1eB6UgVYFBUN9bWks6Kes9PbWSaPaa9DqyvEiN"",""liquidityToken"":""PYUSD"",""supplyApy"":""0.04713541860916348""",2026-08-09T01:59:56.395Z,
kamino-lend-usdt,Kamino,Kamino Lend USDT (Main market),USDT,solana,H3t6qZ1JkguCNTi9uzVKqQ7dvt2cum4XiXWom6Gn5e5S,true,2.6793,3.645,-0.9657,136.04,2.2113,3.5366,3.7693,3.9538,4.2655,1.93,820,7.6,false,0.1243,96.7,spot-apy,issuer_share_price_history,30,2026-07-10T00:00:00.000Z,2026-08-09T00:00:00.000Z,https://api.kamino.finance/kamino-market/7u3HeHxYDLhnCoErrtycNokbQYbWGzLs6JSDqGAv5PfF/reserves/metrics,"""reserve"":""H3t6qZ1JkguCNTi9uzVKqQ7dvt2cum4XiXWom6Gn5e5S"",""liquidityToken"":""USDT"",""supplyApy"":""0.026793292121624068""",2026-08-09T01:59:57.487Z,
kamino-lend-usds,Kamino,Kamino Lend USDS (Main market),USDS,solana,BHUi32TrEsfN2U821G4FprKrR4hTeK4LCWtA3BFetuqA,true,3.9426,4.3002,-0.3576,109.07,3.3428,4.0664,4.2785,4.5019,4.7902,1.43,820,9,false,-0.0217,100.51,spot-apy,issuer_share_price_history,30,2026-07-10T00:00:00.000Z,2026-08-09T00:00:00.000Z,https://api.kamino.finance/kamino-market/7u3HeHxYDLhnCoErrtycNokbQYbWGzLs6JSDqGAv5PfF/reserves/metrics,"""reserve"":""BHUi32TrEsfN2U821G4FprKrR4hTeK4LCWtA3BFetuqA"",""liquidityToken"":""USDS"",""supplyApy"":""0.03942648886400679""",2026-08-09T01:59:58.556Z,
save-usdc,Save,Save USDC (Main pool),USDC,solana,BgxfHJDzm44T7XG68MYKx7YisTjZu73tVovyZSjJMpmw,true,2.53,2.3619,0.1681,93.35,,,,,,,0,,,,,spot-apy,thirdparty_rate_series,29.0832,2026-07-10T23:01:26.000Z,2026-08-09T01:01:18.000Z,https://api.save.finance/v1/reserves?ids=BgxfHJDzm44T7XG68MYKx7YisTjZu73tVovyZSjJMpmw,"""rates"":{""supplyInterest"":""2.53"",""borrowInterest"":""4.20""}",2026-08-09T02:00:00.158Z,
save-usdt,Save,Save USDT (Main pool),USDT,solana,8K9WC8xoh2rtQNY7iEGXtPvfbDCi563SdWhCAhuMP2xE,true,1.42,1.3901,0.0299,97.89,,,,,,,0,,,,,spot-apy,thirdparty_rate_series,29.0832,2026-07-10T23:01:26.000Z,2026-08-09T01:01:18.000Z,https://api.save.finance/v1/reserves?ids=8K9WC8xoh2rtQNY7iEGXtPvfbDCi563SdWhCAhuMP2xE,"""rates"":{""supplyInterest"":""1.42"",""borrowInterest"":""3.32""}",2026-08-09T02:00:00.776Z,
